Interval Start Time,Interval End Time,CSQ Name,Skills,Service Level (sec),Calls Handled < Service Level,Calls Abandoned < Service Level,Percentage Of Service Level Met,,,,Calls Presented,Calls Handled,,Calls Abandoned,,Calls Dequeued,
,,,,,,,Only Handled,With No Abandoned Calls,With Abandoned Calls Counted Positively,With Abandoned Calls Counted Negatively,,Handled,%,Abandoned,%,Dequeued,%
1/4/2022 0:00,1/4/2022 1:00,Ar-Coverage-CSQ,(Ar-Coverage),20,1,0,100,100,100,100,1,1,100,0,0,0,0
1/4/2022 0:00,1/4/2022 1:00,Ar-FollowUp-CSQ,(Ar-FollowUp),20,1,0,50,50,50,50,2,2,100,0,0,0,0
1/4/2022 0:00,1/4/2022 1:00,Ar-Suggestions-Concerns-CSQ,(Ar-Suggestions-Concerns),20,1,0,100,100,100,100,1,1,100,0,0,0,0
1/4/2022 0:00,1/4/2022 1:00,Ar-Technical-CSQ,(Ar-Technical),20,1,0,100,100,100,100,1,1,100,0,0,0,0
1/4/2022 1:00,1/4/2022 2:00,Ar-FollowUp-CSQ,(Ar-FollowUp),20,3,0,100,100,100,100,3,3,100,0,0,0,0
1/4/2022 2:00,1/4/2022 3:00,Ar-FollowUp-CSQ,(Ar-FollowUp),20,2,0,100,100,100,100,2,2,100,0,0,0,0
1/4/2022 6:00,1/4/2022 7:00,Ar-Coverage-CSQ,(Ar-Coverage),20,1,0,100,100,100,100,1,1,100,0,0,0,0
1/4/2022 6:00,1/4/2022 7:00,Ar-Suggestions-Concerns-CSQ,(Ar-Suggestions-Concerns),20,1,0,100,100,100,100,1,1,100,0,0,0,0
1/4/2022 9:00,1/4/2022 10:00,En-FollowUp-CSQ,(En-FollowUp),20,1,0,100,100,100,100,1,1,100,0,0,0,0
1/4/2022 10:00,1/4/2022 11:00,Ar-Coverage-CSQ,(Ar-Coverage),20,2,0,100,100,100,100,2,2,100,0,0,0,0
1/4/2022 10:00,1/4/2022 11:00,Ar-Network-CSQ,(Ar-Network),20,1,0,100,100,100,100,1,1,100,0,0,0,0
1/4/2022 11:00,1/4/2022 12:00,Ar-Coverage-CSQ,(Ar-Coverage),20,1,0,100,100,100,100,1,1,100,0,0,0,0
1/4/2022 12:00,1/4/2022 13:00,Ar-FollowUp-CSQ,(Ar-FollowUp),20,1,0,100,100,100,100,1,1,100,0,0,0,0
1/4/2022 13:00,1/4/2022 14:00,Ar-Coverage-CSQ,(Ar-Coverage),20,1,0,100,100,100,100,1,1,100,0,0,0,0
1/4/2022 13:00,1/4/2022 14:00,Ar-FollowUp-CSQ,(Ar-FollowUp),20,1,0,100,100,100,100,1,1,100,0,0,0,0
